verb	subject	tense	frame	sentence1	sentence2	negraising	acceptability
acclaim	third	present	NP V that S	A particular person doesn't acclaim that a particular thing happened.	That person acclaims that that thing didn't happen.	0.41270688	0.49159527
acknowledge	first	past	NP V that S	I didn't acknowledge that a particular thing happened.	I acknowledged that that thing didn't happen.	0.40723833	0.4981042
acknowledge	first	past	NP V to VP[+eventive]	I didn't acknowledge to do a particular thing.	I acknowledged not to do that thing.	0.25518748	0.52895623
acknowledge	first	past	NP V to VP[-eventive]	I didn't acknowledge to have a particular thing.	I acknowledged not to have that thing.	0.4873154	0.5302599
acknowledge	first	past	NP be V to VP[-eventive]	I wasn't acknowledged to have a particular thing.	I was acknowledged not to have that thing.	0.33576098	0.6199826
acknowledge	first	present	NP V that S	I don't acknowledge that a particular thing happened.	I acknowledge that that thing didn't happen.	0.35336477	0.79269093
acknowledge	first	present	NP V to VP[+eventive]	I don't acknowledge to do a particular thing.	I acknowledge not to do that thing.	0.41778484	0.5042322
acknowledge	first	present	NP be V to VP[-eventive]	I'm not acknowledged to have a particular thing.	I'm acknowledged not to have that thing.	0.4138125	0.55442804
acknowledge	third	past	NP V that S	A particular person didn't acknowledge that a particular thing happened.	That person acknowledged that that thing didn't happen.	0.41970068	0.85143113
acknowledge	third	past	NP V to VP[+eventive]	A particular person didn't acknowledge to do a particular thing.	That person acknowledged not to do that thing.	0.41819656	0.5980857
acknowledge	third	past	NP V to VP[-eventive]	A particular person didn't acknowledge to have a particular thing.	That person acknowledged not to have that thing.	0.43101713	0.66235167
acknowledge	third	past	NP be V to VP[-eventive]	A particular person wasn't acknowledged to have a particular thing.	That person was acknowledged not to have that thing.	0.42335322	0.49966037
acknowledge	third	present	NP V that S	A particular person doesn't acknowledge that a particular thing happened.	That person acknowledges that that thing didn't happen.	0.452113	0.5753314
acknowledge	third	present	NP V to VP[+eventive]	A particular person doesn't acknowledge to do a particular thing.	That person acknowledges not to do that thing.	0.4045276	0.4793856
acknowledge	third	present	NP be V to VP[-eventive]	A particular person isn't acknowledged to have a particular thing.	That person is acknowledged not to have that thing.	0.6966802	0.50196093
add	first	past	NP V that S	I didn't add that a particular thing happened.	I added that that thing didn't happen.	0.15066187	0.45445427
add	first	past	NP V to VP[+eventive]	I didn't add to do a particular thing.	I added not to do that thing.	0.43892312	0.3400791
add	first	past	NP be V to VP[+eventive]	I wasn't added to do a particular thing.	I was added not to do that thing.	0.2504535	0.5568196
add	first	present	NP V that S	I don't add that a particular thing happened.	I add that that thing didn't happen.	0.3841927	0.39820534
add	third	past	NP V that S	A particular person didn't add that a particular thing happened.	That person added that that thing didn't happen.	0.40922773	0.6522577
add	third	past	NP V to VP[+eventive]	A particular person didn't add to do a particular thing.	That person added not to do that thing.	0.41376334	0.3369158
add	third	past	NP be V to VP[+eventive]	A particular person wasn't added to do a particular thing.	That person was added not to do that thing.	0.3685947	0.5045739
add	third	present	NP V that S	A particular person doesn't add that a particular thing happened.	That person adds that that thing didn't happen.	0.15411876	0.49959728
address	first	past	NP V that S	I didn't address that a particular thing happened.	I addressed that that thing didn't happen.	0.3993971	0.73970556
address	first	past	NP be V that S	I wasn't addressed that a particular thing happened.	I was addressed that that thing didn't happen.	0.42454377	0.49886858
address	first	past	NP be V to VP[+eventive]	I wasn't addressed to do a particular thing.	I was addressed not to do that thing.	0.3888495	0.56903666
address	first	present	NP V that S	I don't address that a particular thing happened.	I address that that thing didn't happen.	0.27734664	0.54193944
address	third	past	NP V that S	A particular person didn't address that a particular thing happened.	That person addressed that that thing didn't happen.	0.31940597	0.5912667
address	third	past	NP be V that S	A particular person wasn't addressed that a particular thing happened.	That person was addressed that that thing didn't happen.	0.30796573	0.35770103
address	third	past	NP be V to VP[+eventive]	A particular person wasn't addressed to do a particular thing.	That person was addressed not to do that thing.	0.35164058	0.50115424
address	third	present	NP V that S	A particular person doesn't address that a particular thing happened.	That person addresses that that thing didn't happen.	0.37440485	0.57030606
admire	first	past	NP V that S	I didn't admire that a particular thing happened.	I admired that that thing didn't happen.	0.43201697	0.54995036
admire	first	present	NP V that S	I don't admire that a particular thing happened.	I admire that that thing didn't happen.	0.41152	0.64864624
admire	first	present	NP be V to VP[-eventive]	I'm not admired to have a particular thing.	I'm admired not to have that thing.	0.30937922	0.557691
admire	third	past	NP V that S	A particular person didn't admire that a particular thing happened.	That person admired that that thing didn't happen.	0.27942413	0.52906126
admire	third	present	NP V that S	A particular person doesn't admire that a particular thing happened.	That person admires that that thing didn't happen.	0.37337205	0.7179283
admire	third	present	NP be V to VP[-eventive]	A particular person isn't admired to have a particular thing.	That person is admired not to have that thing.	0.40948147	0.47842297
admit	first	past	NP V that S	I didn't admit that a particular thing happened.	I admitted that that thing didn't happen.	0.31264526	0.6466875
admit	first	past	NP V to VP[+eventive]	I didn't admit to do a particular thing.	I admitted not to do that thing.	0.462073	0.6974056
admit	first	past	NP V to VP[-eventive]	I didn't admit to have a particular thing.	I admitted not to have that thing.	0.39909682	0.71159536
admit	first	past	NP be V to VP[+eventive]	I wasn't admitted to do a particular thing.	I was admitted not to do that thing.	0.3564143	0.41494042
admit	first	past	NP be V to VP[-eventive]	I wasn't admitted to have a particular thing.	I was admitted not to have that thing.	0.399731	0.51745576
admit	first	present	NP V that S	I don't admit that a particular thing happened.	I admit that that thing didn't happen.	0.23742369	0.6656818
admit	first	present	NP V to VP[+eventive]	I don't admit to do a particular thing.	I admit not to do that thing.	0.50339866	0.5872773
admit	third	past	NP V that S	A particular person didn't admit that a particular thing happened.	That person admitted that that thing didn't happen.	0.22661678	0.8743308
admit	third	past	NP V to VP[+eventive]	A particular person didn't admit to do a particular thing.	That person admitted not to do that thing.	0.46976912	0.5024907
admit	third	past	NP V to VP[-eventive]	A particular person didn't admit to have a particular thing.	That person admitted not to have that thing.	0.4054706	0.633135
admit	third	past	NP be V to VP[+eventive]	A particular person wasn't admitted to do a particular thing.	That person was admitted not to do that thing.	0.4188545	0.43998668
admit	third	past	NP be V to VP[-eventive]	A particular person wasn't admitted to have a particular thing.	That person was admitted not to have that thing.	0.43687472	0.5341909
admit	third	present	NP V that S	A particular person doesn't admit that a particular thing happened.	That person admits that that thing didn't happen.	0.71329457	0.5549416
admit	third	present	NP V to VP[+eventive]	A particular person doesn't admit to do a particular thing.	That person admits not to do that thing.	0.41282645	0.6111663
admonish	first	past	NP V that S	I didn't admonish that a particular thing happened.	I admonished that that thing didn't happen.	0.3280766	0.55741334
admonish	first	past	NP be V that S	I wasn't admonished that a particular thing happened.	I was admonished that that thing didn't happen.	0.30677652	0.5322783
admonish	first	past	NP be V to VP[+eventive]	I wasn't admonished to do a particular thing.	I was admonished not to do that thing.	0.35910794	0.5151774
admonish	first	present	NP be V that S	I'm not admonished that a particular thing happened.	I'm admonished that that thing didn't happen.	0.3440578	0.55400956
admonish	first	present	NP be V to VP[+eventive]	I'm not admonished to do a particular thing.	I'm admonished not to do that thing.	0.40659958	0.5179308
admonish	third	past	NP V that S	A particular person didn't admonish that a particular thing happened.	That person admonished that that thing didn't happen.	0.32429546	0.43721443
admonish	third	past	NP be V that S	A particular person wasn't admonished that a particular thing happened.	That person was admonished that that thing didn't happen.	0.3468821	0.7658155
admonish	third	past	NP be V to VP[+eventive]	A particular person wasn't admonished to do a particular thing.	That person was admonished not to do that thing.	0.37983826	0.48501933
admonish	third	present	NP be V that S	A particular person isn't admonished that a particular thing happened.	That person is admonished that that thing didn't happen.	0.3580244	0.5270849
admonish	third	present	NP be V to VP[+eventive]	A particular person isn't admonished to do a particular thing.	That person is admonished not to do that thing.	0.22672102	0.40260407
adore	first	past	NP V that S	I didn't adore that a particular thing happened.	I adored that that thing didn't happen.	0.41279587	0.552761
adore	first	present	NP V that S	I don't adore that a particular thing happened.	I adore that that thing didn't happen.	0.3088548	0.5300075
adore	third	past	NP V that S	A particular person didn't adore that a particular thing happened.	That person adored that that thing didn't happen.	0.4132862	0.66800207
adore	third	present	NP V that S	A particular person doesn't adore that a particular thing happened.	That person adores that that thing didn't happen.	0.26606047	0.7766529
advertise	first	past	NP V that S	I didn't advertise that a particular thing happened.	I advertised that that thing didn't happen.	0.18997936	0.65182316
advertise	first	past	NP V to VP[+eventive]	I didn't advertise to do a particular thing.	I advertised not to do that thing.	0.35826737	0.4518948
advertise	first	past	NP V to VP[-eventive]	I didn't advertise to have a particular thing.	I advertised not to have that thing.	0.31050304	0.6427101
advertise	first	present	NP V that S	I don't advertise that a particular thing happened.	I advertise that that thing didn't happen.	0.21876079	0.5654075
advertise	first	present	NP V to VP[+eventive]	I don't advertise to do a particular thing.	I advertise not to do that thing.	0.29947433	0.4966226
advertise	first	present	NP V to VP[-eventive]	I don't advertise to have a particular thing.	I advertise not to have that thing.	0.31469545	0.6202613
advertise	third	past	NP V that S	A particular person didn't advertise that a particular thing happened.	That person advertised that that thing didn't happen.	0.22414479	0.5367898
advertise	third	past	NP V to VP[+eventive]	A particular person didn't advertise to do a particular thing.	That person advertised not to do that thing.	0.33075613	0.5214152
advertise	third	past	NP V to VP[-eventive]	A particular person didn't advertise to have a particular thing.	That person advertised not to have that thing.	0.43251035	0.51413226
advertise	third	present	NP V that S	A particular person doesn't advertise that a particular thing happened.	That person advertises that that thing didn't happen.	0.34116504	0.6303701
advertise	third	present	NP V to VP[+eventive]	A particular person doesn't advertise to do a particular thing.	That person advertises not to do that thing.	0.30580586	0.56103224
advertise	third	present	NP V to VP[-eventive]	A particular person doesn't advertise to have a particular thing.	That person advertises not to have that thing.	0.29818207	0.5888764
advise	first	past	NP V that S	I didn't advise that a particular thing happened.	I advised that that thing didn't happen.	0.4274071	0.5227317
advise	first	past	NP V to VP[+eventive]	I didn't advise to do a particular thing.	I advised not to do that thing.	0.4182426	0.7779939
advise	first	past	NP V to VP[-eventive]	I didn't advise to have a particular thing.	I advised not to have that thing.	0.4850932	0.52427393
advise	first	past	NP be V that S	I wasn't advised that a particular thing happened.	I was advised that that thing didn't happen.	0.34604898	0.7098908
advise	first	past	NP be V to VP[+eventive]	I wasn't advised to do a particular thing.	I was advised not to do that thing.	0.3924599	0.62037885
advise	first	past	NP be V to VP[-eventive]	I wasn't advised to have a particular thing.	I was advised not to have that thing.	0.42495525	0.61742926
advise	first	present	NP V that S	I don't advise that a particular thing happened.	I advise that that thing didn't happen.	0.56859654	0.5333911
advise	first	present	NP be V that S	I'm not advised that a particular thing happened.	I'm advised that that thing didn't happen.	0.31013414	0.520431
advise	first	present	NP be V to VP[+eventive]	I'm not advised to do a particular thing.	I'm advised not to do that thing.	0.6734702	0.8069115
advise	first	present	NP be V to VP[-eventive]	I'm not advised to have a particular thing.	I'm advised not to have that thing.	0.3381419	0.7236919
advise	third	past	NP V that S	A particular person didn't advise that a particular thing happened.	That person advised that that thing didn't happen.	0.42284817	0.68320245
advise	third	past	NP V to VP[+eventive]	A particular person didn't advise to do a particular thing.	That person advised not to do that thing.	0.55580026	0.75527567
advise	third	past	NP V to VP[-eventive]	A particular person didn't advise to have a particular thing.	That person advised not to have that thing.	0.414093	0.5400956
advise	third	past	NP be V that S	A particular person wasn't advised that a particular thing happened.	That person was advised that that thing didn't happen.	0.41707692	0.49793422
advise	third	past	NP be V to VP[+eventive]	A particular person wasn't advised to do a particular thing.	That person was advised not to do that thing.	0.46451178	0.8393436
advise	third	past	NP be V to VP[-eventive]	A particular person wasn't advised to have a particular thing.	That person was advised not to have that thing.	0.61954635	0.5861588
advise	third	present	NP V that S	A particular person doesn't advise that a particular thing happened.	That person advises that that thing didn't happen.	0.44326475	0.49992633
advise	third	present	NP be V that S	A particular person isn't advised that a particular thing happened.	That person is advised that that thing didn't happen.	0.14963979	0.5479438
advise	third	present	NP be V to VP[+eventive]	A particular person isn't advised to do a particular thing.	That person is advised not to do that thing.	0.44305456	0.6793986
advise	third	present	NP be V to VP[-eventive]	A particular person isn't advised to have a particular thing.	That person is advised not to have that thing.	0.67775196	0.6570287
advocate	first	past	NP V that S	I didn't advocate that a particular thing happened.	I advocated that that thing didn't happen.	0.42810664	0.607166
advocate	first	past	NP V to VP[+eventive]	I didn't advocate to do a particular thing.	I advocated not to do that thing.	0.4005634	0.60277927
advocate	first	past	NP V to VP[-eventive]	I didn't advocate to have a particular thing.	I advocated not to have that thing.	0.36885506	0.5924944
advocate	first	past	NP be V to VP[+eventive]	I wasn't advocated to do a particular thing.	I was advocated not to do that thing.	0.55020934	0.55792516
advocate	first	past	NP be V to VP[-eventive]	I wasn't advocated to have a particular thing.	I was advocated not to have that thing.	0.38828635	0.4563226
advocate	first	present	NP V to VP[+eventive]	I don't advocate to do a particular thing.	I advocate not to do that thing.	0.41091582	0.5386326
advocate	first	present	NP be V to VP[+eventive]	I'm not advocated to do a particular thing.	I'm advocated not to do that thing.	0.41201192	0.6228243
advocate	third	past	NP V that S	A particular person didn't advocate that a particular thing happened.	That person advocated that that thing didn't happen.	0.33610713	0.5805224
advocate	third	past	NP V to VP[+eventive]	A particular person didn't advocate to do a particular thing.	That person advocated not to do that thing.	0.40449342	0.6552022
advocate	third	past	NP V to VP[-eventive]	A particular person didn't advocate to have a particular thing.	That person advocated not to have that thing.	0.41271374	0.5810376
advocate	third	past	NP be V to VP[+eventive]	A particular person wasn't advocated to do a particular thing.	That person was advocated not to do that thing.	0.3522182	0.5080971
advocate	third	past	NP be V to VP[-eventive]	A particular person wasn't advocated to have a particular thing.	That person was advocated not to have that thing.	0.45717904	0.428874
advocate	third	present	NP V to VP[+eventive]	A particular person doesn't advocate to do a particular thing.	That person advocates not to do that thing.	0.4075713	0.62199223
advocate	third	present	NP be V to VP[+eventive]	A particular person isn't advocated to do a particular thing.	That person is advocated not to do that thing.	0.52217376	0.55661225
affect	first	past	NP be V to VP[+eventive]	I wasn't affected to do a particular thing.	I was affected not to do that thing.	0.38063487	0.33932078
affect	third	past	NP be V to VP[+eventive]	A particular person wasn't affected to do a particular thing.	That person was affected not to do that thing.	0.4181487	0.5003762
affirm	first	past	NP V that S	I didn't affirm that a particular thing happened.	I affirmed that that thing didn't happen.	0.44413006	0.6321882
affirm	first	past	NP V to VP[+eventive]	I didn't affirm to do a particular thing.	I affirmed not to do that thing.	0.47909847	0.48950672
affirm	first	past	NP V to VP[-eventive]	I didn't affirm to have a particular thing.	I affirmed not to have that thing.	0.43276858	0.4599871
affirm	first	past	NP be V to VP[-eventive]	I wasn't affirmed to have a particular thing.	I was affirmed not to have that thing.	0.38309318	0.48110884
affirm	first	present	NP V that S	I don't affirm that a particular thing happened.	I affirm that that thing didn't happen.	0.4551408	0.5288279
affirm	first	present	NP V to VP[+eventive]	I don't affirm to do a particular thing.	I affirm not to do that thing.	0.3704739	0.5165082
affirm	first	present	NP V to VP[-eventive]	I don't affirm to have a particular thing.	I affirm not to have that thing.	0.42143956	0.54692686
affirm	first	present	NP be V to VP[-eventive]	I'm not affirmed to have a particular thing.	I'm affirmed not to have that thing.	0.52807766	0.51490855
affirm	third	past	NP V that S	A particular person didn't affirm that a particular thing happened.	That person affirmed that that thing didn't happen.	0.5847437	0.60130054
affirm	third	past	NP V to VP[+eventive]	A particular person didn't affirm to do a particular thing.	That person affirmed not to do that thing.	0.35268688	0.47601637
affirm	third	past	NP V to VP[-eventive]	A particular person didn't affirm to have a particular thing.	That person affirmed not to have that thing.	0.40477163	0.51986843
affirm	third	past	NP be V to VP[-eventive]	A particular person wasn't affirmed to have a particular thing.	That person was affirmed not to have that thing.	0.40900525	0.46037918
affirm	third	present	NP V that S	A particular person doesn't affirm that a particular thing happened.	That person affirms that that thing didn't happen.	0.39394715	0.58245575
affirm	third	present	NP V to VP[+eventive]	A particular person doesn't affirm to do a particular thing.	That person affirms not to do that thing.	0.6877534	0.55976117
affirm	third	present	NP V to VP[-eventive]	A particular person doesn't affirm to have a particular thing.	That person affirms not to have that thing.	0.43928674	0.5360786
affirm	third	present	NP be V to VP[-eventive]	A particular person isn't affirmed to have a particular thing.	That person is affirmed not to have that thing.	0.4169697	0.39843905
afford	first	past	NP V to VP[+eventive]	I didn't afford to do a particular thing.	I afforded not to do that thing.	0.5558682	0.48398554
afford	first	past	NP V to VP[-eventive]	I didn't afford to have a particular thing.	I afforded not to have that thing.	0.3567579	0.4103794
afford	first	past	NP be V to VP[-eventive]	I wasn't afforded to have a particular thing.	I was afforded not to have that thing.	0.31958914	0.56960595
afford	third	past	NP V to VP[+eventive]	A particular person didn't afford to do a particular thing.	That person afforded not to do that thing.	0.454161	0.31150693
afford	third	past	NP V to VP[-eventive]	A particular person didn't afford to have a particular thing.	That person afforded not to have that thing.	0.35519555	0.44246125
afford	third	past	NP be V to VP[-eventive]	A particular person wasn't afforded to have a particular thing.	That person was afforded not to have that thing.	0.398247	0.48512048
affront	first	past	NP V to VP[+eventive]	I didn't affront to do a particular thing.	I affronted not to do that thing.	0.351875	0.43574712
affront	first	past	NP be V to VP[+eventive]	I wasn't affronted to do a particular thing.	I was affronted not to do that thing.	0.42317414	0.49617216
affront	third	past	NP V to VP[+eventive]	A particular person didn't affront to do a particular thing.	That person affronted not to do that thing.	0.3722758	0.36743024
affront	third	past	NP be V to VP[+eventive]	A particular person wasn't affronted to do a particular thing.	That person was affronted not to do that thing.	0.33131364	0.378369
aggravate	first	past	NP be V that S	I wasn't aggravated that a particular thing happened.	I was aggravated that that thing didn't happen.	0.43356326	0.5762531
aggravate	first	present	NP be V that S	I'm not aggravated that a particular thing happened.	I'm aggravated that that thing didn't happen.	0.2987959	0.82121766
aggravate	first	present	NP be V to VP[-eventive]	I'm not aggravated to have a particular thing.	I'm aggravated not to have that thing.	0.3306039	0.49834847
aggravate	third	past	NP be V that S	A particular person wasn't aggravated that a particular thing happened.	That person was aggravated that that thing didn't happen.	0.24181208	0.85935116
aggravate	third	present	NP be V that S	A particular person isn't aggravated that a particular thing happened.	That person is aggravated that that thing didn't happen.	0.26846948	0.6171077
aggravate	third	present	NP be V to VP[-eventive]	A particular person isn't aggravated to have a particular thing.	That person is aggravated not to have that thing.	0.31799838	0.49852824
aggrieve	first	past	NP be V to VP[+eventive]	I wasn't aggrieved to do a particular thing.	I was aggrieved not to do that thing.	0.40041485	0.49589217
aggrieve	third	past	NP be V to VP[+eventive]	A particular person wasn't aggrieved to do a particular thing.	That person was aggrieved not to do that thing.	0.333898	0.4577784
agitate	first	past	NP be V that S	I wasn't agitated that a particular thing happened.	I was agitated that that thing didn't happen.	0.15506077	0.79306287
agitate	first	past	NP be V to VP[-eventive]	I wasn't agitated to have a particular thing.	I was agitated not to have that thing.	0.27645966	0.54111814
agitate	first	present	NP be V that S	I'm not agitated that a particular thing happened.	I'm agitated that that thing didn't happen.	0.40956405	0.570466
agitate	first	present	NP be V to VP[-eventive]	I'm not agitated to have a particular thing.	I'm agitated not to have that thing.	0.254434	0.5475345
agitate	third	past	NP be V that S	A particular person wasn't agitated that a particular thing happened.	That person was agitated that that thing didn't happen.	0.22579564	0.56277335
agitate	third	past	NP be V to VP[-eventive]	A particular person wasn't agitated to have a particular thing.	That person was agitated not to have that thing.	0.39762428	0.48677573
agitate	third	present	NP be V that S	A particular person isn't agitated that a particular thing happened.	That person is agitated that that thing didn't happen.	0.27129796	0.67744
agitate	third	present	NP be V to VP[-eventive]	A particular person isn't agitated to have a particular thing.	That person is agitated not to have that thing.	0.21975377	0.56886995
agonize	first	past	NP V that S	I didn't agonize that a particular thing happened.	I agonized that that thing didn't happen.	0.26307377	0.55441195
agonize	first	past	NP V to VP[+eventive]	I didn't agonize to do a particular thing.	I agonized not to do that thing.	0.25897637	0.5381186
agonize	first	past	NP V to VP[-eventive]	I didn't agonize to have a particular thing.	I agonized not to have that thing.	0.39104116	0.5261253
agonize	first	past	NP be V that S	I wasn't agonized that a particular thing happened.	I was agonized that that thing didn't happen.	0.34766862	0.5329495
agonize	first	past	NP be V to VP[+eventive]	I wasn't agonized to do a particular thing.	I was agonized not to do that thing.	0.36525068	0.52719927
agonize	first	past	NP be V to VP[-eventive]	I wasn't agonized to have a particular thing.	I was agonized not to have that thing.	0.3696896	0.50033194
agonize	first	present	NP V that S	I don't agonize that a particular thing happened.	I agonize that that thing didn't happen.	0.36414957	0.6285639
agonize	first	present	NP V to VP[+eventive]	I don't agonize to do a particular thing.	I agonize not to do that thing.	0.114442155	0.5775173
agonize	first	present	NP be V that S	I'm not agonized that a particular thing happened.	I'm agonized that that thing didn't happen.	0.16993438	0.5684254
agonize	first	present	NP be V to VP[+eventive]	I'm not agonized to do a particular thing.	I'm agonized not to do that thing.	0.3789441	0.60324925
agonize	first	present	NP be V to VP[-eventive]	I'm not agonized to have a particular thing.	I'm agonized not to have that thing.	0.23523621	0.46653804
agonize	third	past	NP V that S	A particular person didn't agonize that a particular thing happened.	That person agonized that that thing didn't happen.	0.2649934	0.6299421
agonize	third	past	NP V to VP[+eventive]	A particular person didn't agonize to do a particular thing.	That person agonized not to do that thing.	0.40153733	0.5243315
agonize	third	past	NP V to VP[-eventive]	A particular person didn't agonize to have a particular thing.	That person agonized not to have that thing.	0.5785048	0.4983091
agonize	third	past	NP be V that S	A particular person wasn't agonized that a particular thing happened.	That person was agonized that that thing didn't happen.	0.36348453	0.5796857
agonize	third	past	NP be V to VP[+eventive]	A particular person wasn't agonized to do a particular thing.	That person was agonized not to do that thing.	0.342533	0.5406095
agonize	third	past	NP be V to VP[-eventive]	A particular person wasn't agonized to have a particular thing.	That person was agonized not to have that thing.	0.28636864	0.56951237
agonize	third	present	NP V that S	A particular person doesn't agonize that a particular thing happened.	That person agonizes that that thing didn't happen.	0.41071695	0.50873595
agonize	third	present	NP V to VP[+eventive]	A particular person doesn't agonize to do a particular thing.	That person agonizes not to do that thing.	0.3948537	0.4998609
agonize	third	present	NP be V that S	A particular person isn't agonized that a particular thing happened.	That person is agonized that that thing didn't happen.	0.2795951	0.615936
agonize	third	present	NP be V to VP[+eventive]	A particular person isn't agonized to do a particular thing.	That person is agonized not to do that thing.	0.41817838	0.5333266
agonize	third	present	NP be V to VP[-eventive]	A particular person isn't agonized to have a particular thing.	That person is agonized not to have that thing.	0.13183494	0.5009989
agree	first	past	NP V that S	I didn't agree that a particular thing happened.	I agreed that that thing didn't happen.	0.6325215	0.91829354
agree	first	past	NP V to VP[+eventive]	I didn't agree to do a particular thing.	I agreed not to do that thing.	0.42613018	0.66234726
agree	first	past	NP V to VP[-eventive]	I didn't agree to have a particular thing.	I agreed not to have that thing.	0.46642992	0.7296254
agree	first	present	NP V that S	I don't agree that a particular thing happened.	I agree that that thing didn't happen.	0.611975	0.6799821
agree	first	present	NP V to VP[+eventive]	I don't agree to do a particular thing.	I agree not to do that thing.	0.57314175	0.7165737
agree	first	present	NP V to VP[-eventive]	I don't agree to have a particular thing.	I agree not to have that thing.	0.42013127	0.5143894
agree	third	past	NP V that S	A particular person didn't agree that a particular thing happened.	That person agreed that that thing didn't happen.	0.43074372	0.5684754
agree	third	past	NP V to VP[+eventive]	A particular person didn't agree to do a particular thing.	That person agreed not to do that thing.	0.6810077	0.81928015
agree	third	past	NP V to VP[-eventive]	A particular person didn't agree to have a particular thing.	That person agreed not to have that thing.	0.42100674	0.6311834
agree	third	present	NP V that S	A particular person doesn't agree that a particular thing happened.	That person agrees that that thing didn't happen.	0.45493537	0.55356324
agree	third	present	NP V to VP[+eventive]	A particular person doesn't agree to do a particular thing.	That person agrees not to do that thing.	0.419395	0.50933313
agree	third	present	NP V to VP[-eventive]	A particular person doesn't agree to have a particular thing.	That person agrees not to have that thing.	0.48458734	0.58251566
aim	first	past	NP V to VP[+eventive]	I didn't aim to do a particular thing.	I aimed not to do that thing.	0.3997523	0.5480508
aim	first	past	NP V to VP[-eventive]	I didn't aim to have a particular thing.	I aimed not to have that thing.	0.41875312	0.8602302
aim	first	past	NP be V to VP[+eventive]	I wasn't aimed to do a particular thing.	I was aimed not to do that thing.	0.31521437	0.4094865
aim	first	present	NP V to VP[+eventive]	I don't aim to do a particular thing.	I aim not to do that thing.	0.64050233	0.82009447
aim	first	present	NP V to VP[-eventive]	I don't aim to have a particular thing.	I aim not to have that thing.	0.42551398	0.787707
aim	first	present	NP be V to VP[+eventive]	I'm not aimed to do a particular thing.	I'm aimed not to do that thing.	0.38130647	0.545236
aim	third	past	NP V to VP[+eventive]	A particular person didn't aim to do a particular thing.	That person aimed not to do that thing.	0.458646	0.671343
